time,latitude,longitude,depth,mag,place
2023-12-30T23:55:48.472Z,44.6077,148.9343,35.0,4.4,"108 km SE of Kuril’sk, Russia"
2023-12-30T23:34:10.971Z,-3.6423,-102.9478,10.0,4.6,central East Pacific Rise
2023-12-30T22:39:19.128Z,40.0474,142.1067,48.231,4.3,"25 km ESE of Noda, Japan"
2023-12-30T22:37:46.030Z,-23.2547,-179.4246,561.074,4.3,south of the Fiji Islands
2023-12-30T22:19:31.590Z,16.5191,145.4075,311.398,4.2,"149 km NNW of Saipan, Northern Mariana Islands"
2023-12-30T22:16:26.188Z,-6.082,147.1624,80.593,4.8,"73 km NNE of Lae, Papua New Guinea"
2023-12-30T21:51:47.381Z,18.4227,146.5983,55.513,4.1,"Pagan region, Northern Mariana Islands"
2023-12-30T21:20:47.071Z,-54.4222,-23.3174,10.0,4.3,South Sandwich Islands region
2023-12-30T20:43:24.532Z,44.3112,17.9273,10.239,4.7,"9 km S of Željezno Polje, Bosnia and Herzegovina"
2023-12-30T19:54:49.808Z,-10.0932,159.9343,10.0,4.6,"50 km SSE of Malango, Solomon Islands"
2023-12-30T19:41:40.417Z,-21.511,-179.2607,597.838,4.5,Fiji region
2023-12-30T19:33:15.501Z,-3.1389,139.5647,48.033,4.3,"133 km WSW of Abepura, Indonesia"
2023-12-30T19:29:41.325Z,8.577,127.1346,10.0,4.3,"89 km ENE of Barcelona, Philippines"
2023-12-30T18:53:02.173Z,-56.0064,-24.1292,10.0,4.6,South Sandwich Islands region
2023-12-30T18:52:06.631Z,-4.9639,153.4635,55.741,4.7,"149 km ESE of Kokopo, Papua New Guinea"
2023-12-30T18:49:09.275Z,-56.0216,-23.9024,10.0,4.6,South Sandwich Islands region
2023-12-30T18:38:39.731Z,12.3296,-89.1796,15.311,4.5,"125 km SSW of Puerto El Triunfo, El Salvador"
2023-12-30T17:16:23.833Z,-2.9934,139.372,33.0,6.3,"146 km WSW of Abepura, Indonesia"
2023-12-30T16:05:45.628Z,-14.753,-173.9714,10.0,5.2,"134 km N of Hihifo, Tonga"
2023-12-30T15:16:40.757Z,52.8913,160.9044,32.669,4.2,"154 km E of Petropavlovsk-Kamchatsky, Russia"
2023-12-30T15:03:01.478Z,-6.4131,154.9575,73.469,5.3,"59 km W of Panguna, Papua New Guinea"
2023-12-30T15:02:00.704Z,12.5308,-89.032,50.462,4.6,"98 km SSW of Puerto El Triunfo, El Salvador"
2023-12-30T15:00:11.442Z,-11.5203,166.415,155.602,5.0,"110 km SE of Lata, Solomon Islands"
2023-12-30T13:34:46.283Z,-15.3643,167.5355,120.987,4.4,"43 km ENE of Luganville, Vanuatu"
2023-12-30T13:26:25.766Z,38.3805,39.0214,10.0,4.2,"8 km N of Doğanyol, Turkey"
2023-12-30T12:59:31.914Z,-11.2021,121.4796,10.949,4.2,"179 km WSW of Baa, Indonesia"
2023-12-30T10:45:18.788Z,11.7844,124.7993,9.608,4.5,"6 km SW of Silanga, Philippines"
2023-12-30T10:38:09.942Z,-7.9886,111.6142,153.996,4.2,"14 km NW of Trenggalek, Indonesia"
2023-12-30T10:32:23.429Z,32.301,141.6645,31.074,4.5,"Izu Islands, Japan region"
2023-12-30T09:54:02.966Z,-25.919,179.7281,518.646,4.1,south of the Fiji Islands
2023-12-30T09:05:09.903Z,-31.5291,-66.286,132.833,4.3,"73 km NW of Candelaria, Argentina"
2023-12-30T08:10:44.410Z,15.7782,147.1162,37.186,4.2,"158 km ENE of Saipan, Northern Mariana Islands"
2023-12-30T07:46:10.681Z,-20.1824,-69.2564,100.609,4.3,"45 km ENE of La Tirana, Chile"
2023-12-30T07:25:45.860Z,-15.1544,-173.8003,35.0,4.5,"88 km N of Hihifo, Tonga"
2023-12-30T07:20:45.724Z,32.0391,142.123,10.0,4.3,"Izu Islands, Japan region"
2023-12-30T06:44:13.335Z,-15.2741,167.6887,136.901,4.7,"62 km ENE of Luganville, Vanuatu"
2023-12-30T06:16:37.350Z,-54.5762,-23.2713,10.0,5.3,South Sandwich Islands region
2023-12-30T06:07:30.619Z,42.8445,142.4671,45.185,4.5,"17 km SSE of Shimukappu, Japan"
2023-12-30T05:59:46.452Z,0.9087,132.683,10.0,4.2,"191 km N of Fef, Indonesia"
2023-12-30T05:19:28.158Z,2.4949,92.9942,19.0,5.7,off the west coast of northern Sumatra
2023-12-30T05:15:58.791Z,27.7127,143.161,10.0,4.5,"Bonin Islands, Japan region"
2023-12-30T03:54:54.240Z,-24.1743,-67.2379,196.246,4.2,"93 km W of San Antonio de los Cobres, Argentina"
2023-12-30T03:17:06.305Z,-49.3412,-116.2145,10.0,4.8,southern East Pacific Rise
2023-12-30T02:42:25.497Z,-49.3266,-116.1747,10.0,5.8,southern East Pacific Rise
2023-12-30T02:38:05.153Z,-24.2522,-67.3349,198.296,4.3,"103 km W of San Antonio de los Cobres, Argentina"
2023-12-30T01:56:45.057Z,-21.7295,-179.1628,571.099,4.2,Fiji region
2023-12-30T01:35:00.276Z,-15.2188,167.6538,132.41,4.2,"62 km ENE of Luganville, Vanuatu"
2023-12-30T00:08:16.876Z,-7.1863,155.617,35.0,4.3,"97 km S of Panguna, Papua New Guinea"
2023-12-30T00:06:22.881Z,-43.3454,91.6312,10.0,4.5,southeast Indian Ridge
2023-12-29T23:16:09.899Z,-10.2544,161.7271,83.898,4.0,"30 km NW of Kirakira, Solomon Islands"
2023-12-29T21:59:14.275Z,-59.2078,-24.6568,10.0,4.3,South Sandwich Islands region
2023-12-29T21:15:37.306Z,51.248,-175.1262,38.777,4.1,"115 km ESE of Adak, Alaska"
2023-12-29T21:09:33.557Z,-15.1112,-173.2989,31.805,4.3,"107 km NNE of Hihifo, Tonga"
2023-12-29T19:24:30.044Z,-24.7795,179.9966,505.096,4.1,south of the Fiji Islands
2023-12-29T19:18:20.371Z,-7.3765,128.6381,154.099,4.5,"220 km NE of Lospalos, Timor Leste"
2023-12-29T19:03:54.159Z,-18.0123,173.021,20.3,5.1,Fiji region
2023-12-29T17:58:18.188Z,-23.5389,-179.872,520.507,4.4,south of the Fiji Islands
2023-12-29T17:53:58.577Z,19.0123,145.0332,201.365,4.2,"Maug Islands region, Northern Mariana Islands"
2023-12-29T17:41:02.554Z,-37.1994,-95.3975,10.0,4.4,southeast of Easter Island
2023-12-29T17:02:34.186Z,-20.1324,169.703,121.675,4.0,"78 km SE of Isangel, Vanuatu"
2023-12-29T16:31:16.478Z,25.0911,96.5235,10.0,5.0,"93 km WSW of Myitkyina, Myanmar"
2023-12-29T16:26:50.027Z,2.6211,121.8937,556.561,4.4,"264 km NNW of Gorontalo, Indonesia"
2023-12-29T14:48:58.685Z,-7.1376,67.8494,10.0,4.7,Mid-Indian Ridge
2023-12-29T14:16:10.849Z,-9.4932,148.9788,10.0,4.2,"114 km SE of Popondetta, Papua New Guinea"
2023-12-29T14:13:57.533Z,20.4001,145.2178,10.0,4.2,"Maug Islands region, Northern Mariana Islands"
2023-12-29T13:54:21.609Z,-20.7909,169.3333,54.212,4.2,"138 km S of Isangel, Vanuatu"
2023-12-29T13:20:23.584Z,52.4184,172.307,10.0,4.1,"76 km SW of Attu Station, Alaska"
2023-12-29T12:33:33.662Z,14.2517,-91.4038,83.572,4.1,"5 km SW of Tiquisate, Guatemala"
2023-12-29T12:15:13.439Z,-23.4198,-179.5237,553.034,4.3,south of the Fiji Islands
2023-12-29T12:05:11.194Z,-52.5241,-75.8496,10.0,4.3,"245 km WSW of Puerto Natales, Chile"
2023-12-29T11:02:48.498Z,-19.1705,169.0676,154.522,4.7,"46 km NNW of Isangel, Vanuatu"
2023-12-29T10:29:32.017Z,6.7248,126.9004,68.61,4.6,"61 km SE of Tarragona, Philippines"
2023-12-29T08:42:05.822Z,-7.2313,68.0639,10.0,5.0,Chagos Archipelago region
