Date,Close,Daily_Return,True_Regime
2020-01-01,99.41,-0.00587,0
2020-01-02,99.68,0.00271,0
2020-01-03,99.93,0.00247,0
2020-01-06,100.62,0.00686,0
2020-01-07,100.35,-0.00269,0
2020-01-08,100.11,-0.00235,0
2020-01-09,98.64,-0.01488,0
2020-01-10,99.28,0.0065,0
2020-01-13,99.1,-0.00177,0
2020-01-14,98.74,-0.00365,0
2020-01-15,98.45,-0.00298,0
2020-01-16,98.88,0.00439,0
2020-01-17,99.03,0.00153,0
2020-01-20,98.81,-0.00229,0
2020-01-21,98.53,-0.0028,0
2020-01-22,99.17,0.00648,0
2020-01-23,98.64,-0.00533,0
2020-01-24,98.63,-0.00017,0
2020-01-27,98.57,-0.00058,0
2020-01-28,98.88,0.00314,0
2020-01-29,100.62,0.01747,0
2020-01-30,101.43,0.00796,0
2020-01-31,101.78,0.00345,1
2020-02-03,103.77,0.01936,1
2020-02-04,101.1,-0.02602,1
2020-02-05,97.16,-0.0398,1
2020-02-06,93.9,-0.03412,1
2020-02-07,91.77,-0.02293,1
2020-02-10,92.89,0.01217,1
2020-02-11,94.72,0.01951,1
2020-02-12,94.08,-0.00677,1
2020-02-13,92.52,-0.01676,1
2020-02-14,89.07,-0.038,1
2020-02-17,91.29,0.02459,1
2020-02-18,93.74,0.02651,1
2020-02-19,91.58,-0.02336,1
2020-02-20,89.16,-0.02671,1
2020-02-21,88.84,-0.00362,1
2020-02-24,91.92,0.03409,1
2020-02-25,92.5,0.00632,1
2020-02-26,91.46,-0.01137,1
2020-02-27,91.16,-0.00326,1
2020-02-28,90.46,-0.00771,0
2020-03-02,91.1,0.00705,0
2020-03-03,90.88,-0.00241,0
2020-03-04,90.14,-0.00817,0
2020-03-05,90.1,-0.00047,0
2020-03-06,89.94,-0.00176,0
2020-03-09,90.28,0.00381,0
2020-03-10,90.99,0.00775,0
2020-03-11,91.81,0.00903,0
2020-03-12,91.98,0.00185,0
2020-03-13,91.91,-0.00074,0
2020-03-16,91.79,-0.00141,0
2020-03-17,90.41,-0.01513,0
2020-03-18,90.67,0.00287,0
2020-03-19,90.99,0.00352,0
2020-03-20,90.97,-0.0002,0
2020-03-23,90.53,-0.00486,0
2020-03-24,93.46,0.0319,1
2020-03-25,93.45,-0.00012,2
2020-03-26,91.6,-0.01998,2
2020-03-27,91.72,0.00133,2
2020-03-30,91.26,-0.00509,2
2020-03-31,92.14,0.00967,1
2020-04-01,91.41,-0.00802,1
2020-04-02,91.99,0.00636,1
2020-04-03,91.81,-0.00198,1
2020-04-06,89.95,-0.02041,1
2020-04-07,91.47,0.01676,1
2020-04-08,94.44,0.03192,1
2020-04-09,97.48,0.03162,1
2020-04-10,96.15,-0.01364,1
2020-04-13,98.13,0.02036,1
2020-04-14,102.05,0.03916,1
2020-04-15,102.67,0.00604,0
2020-04-16,103.15,0.00469,0
2020-04-17,102.48,-0.00654,0
2020-04-20,102.94,0.00452,0
2020-04-21,102.93,-0.00017,0
2020-04-22,102.79,-0.00134,0
2020-04-23,103.22,0.00414,0
2020-04-24,104.15,0.00898,0
2020-04-27,105.83,0.01603,0
2020-04-28,105.0,-0.00784,0
2020-04-29,105.84,0.00794,0
2020-04-30,106.32,0.00451,0
2020-05-01,107.18,0.0081,0
2020-05-04,107.42,0.00216,0
2020-05-05,108.05,0.00588,0
2020-05-06,108.25,0.00185,0
2020-05-07,107.55,-0.0065,0
2020-05-08,108.11,0.00521,0
2020-05-11,107.58,-0.00493,0
2020-05-12,108.16,0.00542,0
2020-05-13,109.08,0.00841,0
2020-05-14,108.6,-0.00441,0
2020-05-15,108.78,0.00168,0
2020-05-18,109.44,0.00607,0
2020-05-19,109.37,-0.00064,0
2020-05-20,111.27,0.01721,0
2020-05-21,111.42,0.00136,0
2020-05-22,110.87,-0.00498,0
2020-05-25,111.61,0.00666,0
2020-05-26,111.62,6e-05,0
2020-05-27,113.41,0.01597,1
2020-05-28,112.81,-0.00533,2
2020-05-29,113.88,0.00942,2
2020-06-01,112.63,-0.01101,2
2020-06-02,111.95,-0.00606,2
2020-06-03,112.81,0.00766,2
2020-06-04,115.24,0.02126,2
2020-06-05,116.72,0.01279,2
2020-06-08,116.8,0.00072,2
2020-06-09,115.48,-0.01141,2
2020-06-10,117.42,0.01668,2
2020-06-11,117.86,0.00375,2
2020-06-12,118.24,0.00319,2
2020-06-15,120.31,0.01735,2
2020-06-16,120.33,0.00019,2
2020-06-17,120.68,0.00289,2
2020-06-18,120.95,0.00221,2
2020-06-19,121.2,0.00208,2
2020-06-22,118.52,-0.02234,1
2020-06-23,113.34,-0.04472,1
2020-06-24,114.11,0.00678,1
2020-06-25,113.59,-0.00456,0
2020-06-26,113.45,-0.00121,0
2020-06-29,113.92,0.0041,0
2020-06-30,113.14,-0.00683,0
2020-07-01,114.87,0.01513,0
2020-07-02,116.24,0.01186,0
2020-07-03,116.34,0.00089,0
2020-07-06,116.74,0.00345,0
2020-07-07,116.52,-0.00187,0
2020-07-08,115.46,-0.00921,0
2020-07-09,115.01,-0.00383,0
2020-07-10,116.26,0.01077,0
2020-07-13,116.57,0.00271,0
2020-07-14,115.54,-0.00887,0
2020-07-15,115.9,0.00306,0
2020-07-16,117.15,0.01071,0
2020-07-17,116.73,-0.00358,0
2020-07-20,115.93,-0.00688,0
2020-07-21,115.86,-0.00062,0
2020-07-22,117.26,0.01203,0
2020-07-23,116.44,-0.00697,0
2020-07-24,116.46,0.00017,0
